order_id,customer_id,restaurant_id,dish_ordered,order_time,delivery_time,order_status,price,quantity,expected_delivery_time,delivery_partner_id
1,202,93,Dal Makhani,3/29/2024 16:36,3/29/2024 17:45,Cancelled,354.69,2,3/29/2024 16:58,370
2,109,292,Tandoori Chicken,2/25/2024 15:05,2/25/2024 17:02,Successful,367.28,4,2/25/2024 15:29,317
3,201,151,Paneer Tikka,2/9/2024 22:14,2/9/2024 23:27,Cancelled,720.84,1,2/9/2024 22:51,298
4,119,119,Dosa,7/30/2024 22:43,7/31/2024 0:06,Successful,692.54,2,7/30/2024 23:22,147
5,180,94,Tandoori Chicken,7/21/2024 5:52,7/21/2024 6:38,Successful,105.2,2,7/21/2024 6:22,280
6,232,289,Aloo Paratha,1/7/2024 11:05,1/7/2024 12:24,Successful,866.5,3,1/7/2024 11:45,199
7,140,249,Dal Makhani,6/21/2024 19:10,6/21/2024 21:00,Successful,319.84,2,6/21/2024 19:33,14
8,73,122,Samosa,4/10/2024 17:21,4/10/2024 18:42,Successful,338.65,3,4/10/2024 17:42,32
9,446,17,Pav Bhaji,7/13/2024 11:39,7/13/2024 13:30,Successful,948.97,3,7/13/2024 12:01,220
10,191,243,Dal Makhani,4/25/2024 5:37,4/25/2024 7:33,Successful,955.99,1,4/25/2024 6:04,442
11,127,156,Tandoori Chicken,6/28/2024 12:58,6/28/2024 13:24,Successful,830.66,3,6/28/2024 13:35,241
12,474,111,Biryani,6/18/2024 1:59,6/18/2024 3:13,Successful,389.96,1,6/18/2024 2:31,145
13,311,229,Tandoori Chicken,5/2/2024 21:52,5/2/2024 23:06,Successful,520.05,1,5/2/2024 22:31,185
14,8,144,Paneer Tikka,3/1/2024 4:14,3/1/2024 6:12,Successful,421.04,1,3/1/2024 4:42,499
15,220,148,Samosa,2/7/2024 22:28,2/7/2024 23:54,Successful,790.57,1,2/7/2024 23:00,191
16,273,75,Tandoori Chicken,8/11/2024 8:29,8/11/2024 9:17,Successful,281.71,5,8/11/2024 8:52,486
17,279,176,Dosa,1/17/2024 22:33,1/17/2024 23:21,Successful,185.02,2,1/17/2024 22:56,336
18,356,20,Biryani,8/14/2024 20:18,8/14/2024 22:08,Successful,475.1,5,8/14/2024 20:57,265
19,191,263,Pav Bhaji,9/6/2024 21:50,9/6/2024 23:32,Successful,782.01,4,9/6/2024 22:12,264
20,218,259,Biryani,4/6/2024 1:42,4/6/2024 2:36,Successful,183.15,5,4/6/2024 2:22,37
21,360,174,Tandoori Chicken,4/6/2024 17:01,4/6/2024 18:06,Successful,441.94,3,4/6/2024 17:27,227
22,373,105,Dal Makhani,7/2/2024 0:36,7/2/2024 1:47,Successful,908.52,3,7/2/2024 1:03,179
23,400,262,Paneer Tikka,6/30/2024 22:13,6/30/2024 23:32,Successful,801.01,3,6/30/2024 22:34,311
24,120,265,Tandoori Chicken,9/16/2024 1:36,9/16/2024 2:06,Successful,819.67,5,9/16/2024 2:09,222
25,402,118,Samosa,3/16/2024 14:24,3/16/2024 15:07,Successful,619.37,1,3/16/2024 14:52,373
26,437,263,Dosa,4/17/2024 0:51,4/17/2024 2:41,Cancelled,554.5,5,4/17/2024 1:31,31
27,174,162,Samosa,4/4/2024 23:44,4/5/2024 1:21,Successful,295.18,5,4/5/2024 0:05,116
28,53,266,Butter Chicken,6/25/2024 7:03,6/25/2024 7:43,Successful,878.93,3,6/25/2024 7:30,253
29,359,33,Samosa,1/30/2024 13:40,1/30/2024 14:21,Successful,415.18,3,1/30/2024 14:13,182
30,262,17,Samosa,8/19/2024 23:51,8/20/2024 0:53,Successful,747.57,3,8/20/2024 0:17,187
31,443,133,Pav Bhaji,8/31/2024 11:32,8/31/2024 12:23,Successful,928.4,3,8/31/2024 12:07,480
32,197,94,Pav Bhaji,5/18/2024 1:55,5/18/2024 2:44,Successful,490.95,2,5/18/2024 2:19,493
33,188,285,Aloo Paratha,4/26/2024 18:33,4/26/2024 19:24,Successful,373.47,1,4/26/2024 19:00,493
34,405,281,Dosa,7/17/2024 15:50,7/17/2024 16:51,Successful,548.68,2,7/17/2024 16:24,490
35,211,232,Butter Chicken,8/6/2024 9:58,8/6/2024 11:25,Successful,663.15,3,8/6/2024 10:38,430
36,294,294,Dal Makhani,2/4/2024 5:54,2/4/2024 7:22,Successful,986.05,4,2/4/2024 6:32,104
37,11,231,Dal Makhani,9/1/2024 3:34,9/1/2024 4:26,Successful,189.54,3,9/1/2024 4:07,480
38,95,234,Chole Bhature,2/29/2024 17:57,2/29/2024 19:42,Successful,118.06,4,2/29/2024 18:19,231
39,429,141,Biryani,4/8/2024 11:23,4/8/2024 12:19,Successful,915.81,3,4/8/2024 11:53,471
40,67,35,Paneer Tikka,2/29/2024 13:14,2/29/2024 14:25,Successful,200.64,1,2/29/2024 13:41,186
41,95,260,Butter Chicken,1/18/2024 13:08,1/18/2024 14:42,Successful,244.06,3,1/18/2024 13:44,146
42,279,112,Tandoori Chicken,4/6/2024 17:11,4/6/2024 18:52,Successful,349.54,4,4/6/2024 17:37,70
43,85,143,Dal Makhani,6/19/2024 21:46,6/19/2024 22:44,Successful,176.32,2,6/19/2024 22:15,134
44,373,278,Tandoori Chicken,8/15/2024 13:04,8/15/2024 14:43,Successful,702.62,5,8/15/2024 13:37,172
45,403,117,Chole Bhature,5/17/2024 17:57,5/17/2024 18:30,Successful,326.15,2,5/17/2024 18:17,3
46,362,54,Biryani,2/10/2024 21:07,2/10/2024 21:41,Successful,993.59,2,2/10/2024 21:37,473
47,289,285,Paneer Tikka,7/2/2024 18:25,7/2/2024 19:54,Successful,364.32,1,7/2/2024 19:00,130
48,384,20,Pav Bhaji,6/1/2024 0:49,6/1/2024 1:20,Successful,725.64,3,6/1/2024 1:20,44
49,416,250,Aloo Paratha,8/18/2024 23:42,8/19/2024 0:07,Successful,761.35,5,8/19/2024 0:05,145
50,447,197,Aloo Paratha,7/18/2024 2:34,7/18/2024 4:22,Successful,145.38,2,7/18/2024 2:57,499
51,270,27,Dal Makhani,8/1/2024 18:17,8/1/2024 20:04,Successful,481.98,2,8/1/2024 18:52,39
52,129,156,Paneer Tikka,8/1/2024 7:55,8/1/2024 9:07,Successful,644.4,1,8/1/2024 8:25,472
